name,rating,review
,1,"Làm ăn lừa đảo  mọi người không nên mua mua xong nó chặn hàng đểu mua phí tiền, loại kinh tởm hạ đẳng"
,1,Xịn quá chơi phi phai rất mượt
,1,Đúng là lừa đảo mà.mới đầu mình mua 1 chiếc đt của shop dùng mấy ngày đầu thấy ok nên đặt mua thêm 2 chiếc nữa.ai ngờ cái nào cũng chỉ dùng được tầm 1 tuần là loa từ từ nhỏ dần và giờ là k nghe được nữa.mn muốn mua thì lưu ý nhé
,1,Nghe gọi được nhưng màn hình thì không thấy gì cả. Chỉ một màu đen
,1,"pin ok, nhưng sao mình đã cài kiểu chuông lớn, bật rung, âm lượng mức cao nhất,khi có cuộc gọi đến điện thoại k đổ chuông. "
,1,"Điện thoại kèm sạc nhưng sạc không đồng bộ, cắm sạc không vào. cảm thấy rất phí tiền"
,1,Lần đầu mua của sốp. Đóng gói chắc chắn lắm. Nhưng vừa nhận hàng hôm qua dùng vẫn ok. Hôm nay đã k lên được nguồn rồi
,1,"Điện thoại dùng vài ngày đã trắng màn, không bật lại được. Sạc thì không cắm vừa luôn, không hiểu shop làm ăn kiểu gì. Điện thoại cũ bẩn , thất vọng thực sự. Cái đt như này mà cũng tự tin đem bán cho khách được ?"
,1,"Máy dùng được đúng ba ngày thì sập nguồn, mở máy không thấy lên,cắm sạc cũng không thấy gì. Định đi sửa mà nghĩ chắc công sửa bằng mua cái máy mới lại mất công đi lại."
,1,"Máy xì ke, mua máy mới mà về toàn danh bạ gì đâu không, lắp thì kênh, không lắp được vỏ, quá thất vọng, làm ăn đúng kiểu lừa đảo, hix"
,1,Hàng tạm được
,1,"Mới nhận được một ngày đã hỏng màn hình. Mọi người đừng ham rẻ, không dùng được đâu."
,1,"dùng 1 tuần là màn hình không nhìn thấy gì
tưởng bền ai ngờ dùng được 1 tuần hỏng luôn
đánh giá 1 sao"
,1,Máy này là máy dựng màn hình có dấu hiệu của vào nước. Vỏ thay vỏ lô nó mềm quá mở thì khó pin với sạc thì không biết ra sao máy màn thấy túi quá
,1,Mình mất 130k mua điện thoại sạc với pin nhưng chỉ dùng được pin và sạc còn điện thoại thì không lắp được sim nhắn shop thì shop đổi cho mình k biết lắp sim nhưng ra ngoài tiệm người ta  lại bảo điện thoại  k nhận sim được
